,target,avg_bigram_freq
0,bailaba,10595863.166666666
1,bailabas,9090246.714285715
2,bailábamos,46239.22222222222
3,bailaban,9083677.57142857
4,bailaría,9082573.0
5,bailarías,7954319.875
6,bailaríamos,6398405.1
7,bailarían,7948571.875
8,bailaré,10596189.166666666
9,bailarás,9082568.57142857
10,bailará,10596212.666666666
11,bailaremos,7107720.777777778
12,bailarán,9082503.142857144
13,besaba,3491420.2
14,besabas,2918941.5
15,besábamos,2232480.625
16,besaban,2911277.5
17,besaría,2909988.8333333335
18,besarías,2502354.4285714286
19,besaríamos,1985108.111111111
20,besarían,2495785.285714286
21,besaré,3491811.4
22,besarás,2909983.6666666665
23,besará,3491839.6
24,besaremos,2231426.125
25,besarán,2909907.3333333335
26,casaba,13272.8
27,casabas,20485.333333333332
28,casábamos,58638.5
29,casaban,12821.333333333334
30,casaría,11532.666666666666
31,casarías,17963.428571428572
32,casaríamos,52804.0
33,casarían,11394.285714285714
34,casaré,13664.0
35,casarás,11527.5
36,casará,13692.2
37,casaremos,57584.0
38,casarán,11451.166666666666
39,cenaba,8988927.4
40,cenabas,7500197.5
41,cenábamos,5667749.0
42,cenaban,7492533.5
43,cenaría,7491244.833333333
44,cenarías,6429145.285714285
45,cenaríamos,5039278.777777778
46,cenarían,6422576.142857143
47,cenaré,8989318.6
48,cenarás,7491239.666666667
49,cenará,8989346.8
50,cenaremos,5667368.125
51,cenarán,7491163.333333333
52,charlaba,9662796.57142857
53,charlabas,8462015.5
54,charlábamos,448055.0
55,charlaban,8456267.5
56,charlaría,8455301.0
57,charlarías,7522106.222222222
58,charlaríamos,6186222.545454546
59,charlarían,7516996.888888889
60,charlaré,9663076.0
61,charlarás,8455297.125
62,charlará,9663096.142857144
63,charlaremos,6803388.4
64,charlarán,8455239.875
65,cortaba,4890.166666666667
66,cortabas,12269.857142857143
67,cortábamos,47477.88888888889
68,cortaban,5700.714285714285
69,cortaría,4596.142857142857
70,cortarías,11090.125
71,cortaríamos,43821.3
72,cortarían,5342.125
73,cortaré,5216.166666666667
74,cortarás,4591.714285714285
75,cortará,5239.666666666667
76,cortaremos,47072.11111111111
77,cortarán,4526.285714285715
78,duraba,2403.8
79,durabas,11427.833333333334
80,durábamos,51847.0
81,duraban,3763.8333333333335
82,duraría,2475.1666666666665
83,durarías,10199.857142857143
84,duraríamos,46765.666666666664
85,durarían,3630.714285714286
86,duraré,2795.0
87,durarás,2470.0
88,durará,2823.2
89,duraremos,50790.875
90,durarán,2393.6666666666665
